individual,morph,tail.sec,tail.vel,mass.g,length.cm,easting,northing
16O300,striped,110,3,0.8,3.9,350827,4699989
16O301,striped,160,2.3,0.7,4,350827,4699989
16O302,striped,250,2.8,0.9,3.9,350831,4699988
16O303,striped,360,3.3,1,4,350831,4699988
16O304,striped,220,4.6,0.6,3.4,350831,4699988
16O306,striped,120,3,0.6,3.3,352128,4702166
16O308,striped,310,3.5,1.2,4.2,352121,4702172
16O309,striped,220,2.6,0.8,3.7,352122,4702174
16O310,striped,360,2.4,0.7,3.6,352116,4702169
16O311,striped,410,2.6,0.9,3.8,352119,4702170
16O312,striped,190,2.2,1,3.8,352110,4702167
16O314,striped,460,2.9,0.8,3.5,352089,4702122
16O315,striped,420,2.2,0.5,3.4,352090,4702135
16O316,striped,440,4,0.6,3.3,352088,4702129
16O317,striped,400,3.4,0.9,4,352071,4702177
17O300,striped,180,3.5,1.1,4.4,351010,4700176
17O302,striped,270,3.8,0.5,3.2,350989,4700122
17O303,striped,50,1.7,0.6,3.6,350962,4700106
17O304,striped,340,3.2,0.8,4,350946,4700091
17O305,striped,300,3.2,1,4.1,350939,4700088
16O305,unstriped,10,0.5,0.4,3.1,352130,4702168
16O307,unstriped,0,0,0.9,3.6,352119,4702157
16O313,unstriped,20,0.8,0.4,2.9,352090,4702123
16O318,unstriped,10,1.1,0.6,3.3,352075,4702046
17O301,unstriped,70,1.9,0.5,3.3,350990,4700114
17O306,unstriped,70,2,0.3,2.8,350910,4700059
17O307,unstriped,10,0.9,0.8,4.2,350910,4700057
17O308,unstriped,30,1.7,0.8,4,350887,4700003
17O309,unstriped,50,1.2,1,3.9,350889,4699994
17O310,unstriped,50,1.3,0.6,3.4,350893,4700009
17O311,unstriped,0,0,0.5,3.5,350855,4699997
17O312,unstriped,0,0,0.8,4,350871,4700003
17O313,unstriped,50,1.6,0.8,3.9,350838,4700072
17O314,unstriped,20,0.6,0.4,3,350982,4700003
17O315,unstriped,20,0.6,0.6,3.4,350957,4699969
17O316,unstriped,50,1.8,0.5,3.5,350795,4699993
17O317,unstriped,50,2,0.6,3.6,350789,4700005
17O318,unstriped,40,0.8,0.5,3.4,350811,4700018
17O319,unstriped,50,1.9,0.4,3.1,350806,4700007
17O320,unstriped,80,1.4,0.5,3.3,350812,4700030